gs_name	gene
MSigDB hallmark inflammatory response	ENSG00000184371
MSigDB hallmark inflammatory response	ENSG00000108342
MSigDB hallmark inflammatory response	ENSG00000119535
MSigDB hallmark inflammatory response	ENSG00000006210
MSigDB hallmark inflammatory response	ENSG00000169245
MSigDB hallmark inflammatory response	ENSG00000169248
MSigDB hallmark inflammatory response	ENSG00000124875
MSigDB hallmark inflammatory response	ENSG00000169429
MSigDB hallmark inflammatory response	ENSG00000138755
MSigDB hallmark inflammatory response	ENSG00000172215
MSigDB hallmark inflammatory response	ENSG00000165168
MSigDB hallmark inflammatory response	ENSG00000057019
MSigDB hallmark inflammatory response	ENSG00000105246
MSigDB hallmark inflammatory response	ENSG00000078401
MSigDB hallmark inflammatory response	ENSG00000055332
MSigDB hallmark inflammatory response	ENSG00000142227
MSigDB hallmark inflammatory response	ENSG00000124882
MSigDB hallmark inflammatory response	ENSG00000117525
MSigDB hallmark inflammatory response	ENSG00000126262
MSigDB hallmark inflammatory response	ENSG00000171051
MSigDB hallmark inflammatory response	ENSG00000163251
MSigDB hallmark inflammatory response	ENSG00000204681
MSigDB hallmark inflammatory response	ENSG00000206466
MSigDB hallmark inflammatory response	ENSG00000206511
MSigDB hallmark inflammatory response	ENSG00000232569
MSigDB hallmark inflammatory response	ENSG00000232632
MSigDB hallmark inflammatory response	ENSG00000237051
MSigDB hallmark inflammatory response	ENSG00000237112
MSigDB hallmark inflammatory response	ENSG00000131979
MSigDB hallmark inflammatory response	ENSG00000060558
MSigDB hallmark inflammatory response	ENSG00000065135
MSigDB hallmark inflammatory response	ENSG00000185245
MSigDB hallmark inflammatory response	ENSG00000147257
MSigDB hallmark inflammatory response	ENSG00000183484
MSigDB hallmark inflammatory response	ENSG00000169508
MSigDB hallmark inflammatory response	ENSG00000170961
MSigDB hallmark inflammatory response	ENSG00000113070
MSigDB hallmark inflammatory response	ENSG00000100644
MSigDB hallmark inflammatory response	ENSG00000105707
MSigDB hallmark inflammatory response	ENSG00000196639
MSigDB hallmark inflammatory response	ENSG00000090339
MSigDB hallmark inflammatory response	ENSG00000105371
MSigDB hallmark inflammatory response	ENSG00000160223
MSigDB hallmark inflammatory response	ENSG00000185885
MSigDB hallmark inflammatory response	ENSG00000142166
MSigDB hallmark inflammatory response	ENSG00000159128
MSigDB hallmark inflammatory response	ENSG00000262795
MSigDB hallmark inflammatory response	ENSG00000136634
MSigDB hallmark inflammatory response	ENSG00000110324
MSigDB hallmark inflammatory response	ENSG00000113302
MSigDB hallmark inflammatory response	ENSG00000164136
MSigDB hallmark inflammatory response	ENSG00000134470
MSigDB hallmark inflammatory response	ENSG00000150782
MSigDB hallmark inflammatory response	ENSG00000115604
MSigDB hallmark inflammatory response	ENSG00000115607
MSigDB hallmark inflammatory response	ENSG00000115008
MSigDB hallmark inflammatory response	ENSG00000125538
MSigDB hallmark inflammatory response	ENSG00000115594
MSigDB hallmark inflammatory response	ENSG00000100385
MSigDB hallmark inflammatory response	ENSG00000077238
MSigDB hallmark inflammatory response	ENSG00000136244
MSigDB hallmark inflammatory response	ENSG00000168685
MSigDB hallmark inflammatory response	ENSG00000122641
MSigDB hallmark inflammatory response	ENSG00000134070
MSigDB hallmark inflammatory response	ENSG00000125347
MSigDB hallmark inflammatory response	ENSG00000185507
MSigDB hallmark inflammatory response	ENSG00000276561
MSigDB hallmark inflammatory response	ENSG00000161638
MSigDB hallmark inflammatory response	ENSG00000259207
MSigDB hallmark inflammatory response	ENSG00000105855
MSigDB hallmark inflammatory response	ENSG00000177272
MSigDB hallmark inflammatory response	ENSG00000123700
MSigDB hallmark inflammatory response	ENSG00000197584
MSigDB hallmark inflammatory response	ENSG00000054523
MSigDB hallmark inflammatory response	ENSG00000067082
MSigDB hallmark inflammatory response	ENSG00000078081
MSigDB hallmark inflammatory response	ENSG00000182866
MSigDB hallmark inflammatory response	ENSG00000043462
MSigDB hallmark inflammatory response	ENSG00000130164
MSigDB hallmark inflammatory response	ENSG00000128342
MSigDB hallmark inflammatory response	ENSG00000198121
MSigDB hallmark inflammatory response	ENSG00000173503
MSigDB hallmark inflammatory response	ENSG00000223919
MSigDB hallmark inflammatory response	ENSG00000226275
MSigDB hallmark inflammatory response	ENSG00000226979
MSigDB hallmark inflammatory response	ENSG00000230279
MSigDB hallmark inflammatory response	ENSG00000231408
MSigDB hallmark inflammatory response	ENSG00000238130
MSigDB hallmark inflammatory response	ENSG00000160932
MSigDB hallmark inflammatory response	ENSG00000278032
MSigDB hallmark inflammatory response	ENSG00000254087
MSigDB hallmark inflammatory response	ENSG00000019169
MSigDB hallmark inflammatory response	ENSG00000103313
MSigDB hallmark inflammatory response	ENSG00000112818
MSigDB hallmark inflammatory response	ENSG00000105976
MSigDB hallmark inflammatory response	ENSG00000157227
MSigDB hallmark inflammatory response	ENSG00000038945
MSigDB hallmark inflammatory response	ENSG00000059728
MSigDB hallmark inflammatory response	ENSG00000136997
MSigDB hallmark inflammatory response	ENSG00000105835
MSigDB hallmark inflammatory response	ENSG00000124479
MSigDB hallmark inflammatory response	ENSG00000109320
MSigDB hallmark inflammatory response	ENSG00000100906
MSigDB hallmark inflammatory response	ENSG00000162711
MSigDB hallmark inflammatory response	ENSG00000123609
MSigDB hallmark inflammatory response	ENSG00000171596
MSigDB hallmark inflammatory response	ENSG00000167207
MSigDB hallmark inflammatory response	ENSG00000056291
MSigDB hallmark inflammatory response	ENSG00000173391
MSigDB hallmark inflammatory response	ENSG00000082556
MSigDB hallmark inflammatory response	ENSG00000099985
MSigDB hallmark inflammatory response	ENSG00000145623
MSigDB hallmark inflammatory response	ENSG00000135124
MSigDB hallmark inflammatory response	ENSG00000089041
MSigDB hallmark inflammatory response	ENSG00000175591
MSigDB hallmark inflammatory response	ENSG00000169851
MSigDB hallmark inflammatory response	ENSG00000184588
MSigDB hallmark inflammatory response	ENSG00000162493
MSigDB hallmark inflammatory response	ENSG00000141506
MSigDB hallmark inflammatory response	ENSG00000011422
MSigDB hallmark inflammatory response	ENSG00000163421
MSigDB hallmark inflammatory response	ENSG00000080815
MSigDB hallmark inflammatory response	ENSG00000169403
MSigDB hallmark inflammatory response	ENSG00000125384
MSigDB hallmark inflammatory response	ENSG00000171522
MSigDB hallmark inflammatory response	ENSG00000160013
MSigDB hallmark inflammatory response	ENSG00000132334
MSigDB hallmark inflammatory response	ENSG00000073008
